"QNA_ACCOUNT","Account","QNA_INDICATOR","Indicator","QNA_BRANCH","Industry breakdown","QNA_PRICE","Price type and unit","QNA_ADJ","Adjustment","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","V","Current prices in millions of euro","Y","Working day and seasonally adjusted","A","Annual","2019","2019",478676.2,,
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","V","Current prices in millions of euro","Y","Working day and seasonally adjusted","A","Annual","2020","2020",459826.9,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","V","Current prices in millions of euro","Y","Working day and seasonally adjusted","A","Annual","2021","2021",502521.2,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","V","Current prices in millions of euro","Y","Working day and seasonally adjusted","A","Annual","2022","2022",549456.2,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","V","Current prices in millions of euro","Y","Working day and seasonally adjusted","Q","Quarterly","2019-Q2","2019Q2",118650,,
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","V","Current prices in millions of euro","Y","Working day and seasonally adjusted","Q","Quarterly","2020-Q2","2020Q2",104472,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","V","Current prices in millions of euro","Y","Working day and seasonally adjusted","Q","Quarterly","2020-Q3","2020Q3",118009,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","V","Current prices in millions of euro","Y","Working day and seasonally adjusted","Q","Quarterly","2021-Q2","2021Q2",123324,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","V","Current prices in millions of euro","Y","Working day and seasonally adjusted","Q","Quarterly","2021-Q3","2021Q3",127473,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","V","Current prices in millions of euro","Y","Working day and seasonally adjusted","Q","Quarterly","2022-Q3","2022Q3",138915,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","V","Current prices in millions of euro","Y","Working day and seasonally adjusted","Q","Quarterly","2019-Q1","2019Q1",117473,,
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","V","Current prices in millions of euro","Y","Working day and seasonally adjusted","Q","Quarterly","2020-Q1","2020Q1",118828,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","V","Current prices in millions of euro","Y","Working day and seasonally adjusted","Q","Quarterly","2021-Q1","2021Q1",121234,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","V","Current prices in millions of euro","Y","Working day and seasonally adjusted","Q","Quarterly","2022-Q1","2022Q1",134283,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","V","Current prices in millions of euro","Y","Working day and seasonally adjusted","Q","Quarterly","2022-Q2","2022Q2",136264,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","V","Current prices in millions of euro","Y","Working day and seasonally adjusted","Q","Quarterly","2019-Q3","2019Q3",120542,,
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","V","Current prices in millions of euro","Y","Working day and seasonally adjusted","Q","Quarterly","2019-Q4","2019Q4",122011,,
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","V","Current prices in millions of euro","Y","Working day and seasonally adjusted","Q","Quarterly","2020-Q4","2020Q4",118519,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","V","Current prices in millions of euro","Y","Working day and seasonally adjusted","Q","Quarterly","2021-Q4","2021Q4",130490,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","V","Current prices in millions of euro","Y","Working day and seasonally adjusted","Q","Quarterly","2022-Q4","2022Q4",139994,"P","Provisional"
