"HICP_PROD","Type and product group","HICP_REGIO","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"FOODPR","Processed food","U2","Euro area","M","Monthly","2019-03","2019M3",2,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2019-04","2019M4",1.7,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2019-05","2019M5",1.9,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2019-06","2019M6",1.9,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2020-04","2020M4",2.3,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2020-05","2020M5",2.4,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2020-06","2020M6",2.3,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2020-07","2020M7",1.6,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2021-04","2021M4",0.9,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2021-05","2021M5",0.7,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2021-06","2021M6",0.8,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2021-07","2021M7",1.5,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2021-08","2021M8",1.7,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2022-05","2022M5",7,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2022-06","2022M6",8.2,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2022-07","2022M7",9.4,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2022-08","2022M8",10.5,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2019-01","2019M1",1.8,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2019-02","2019M2",2.1,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2019-11","2019M11",2,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2019-12","2019M12",2,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2020-01","2020M1",2,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2020-02","2020M2",2,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2020-03","2020M3",2.1,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2020-12","2020M12",1.1,,
